A Day In The Life	Sgt. Pepper's Lonely Hearts Club Band	13	337	1967
A Hard Day's Night	A Hard Day's Night	1	154	1964
A Taste Of Honey	Please Please Me	12	123	1963
Across The Universe	Let It Be	3	228	1970
Act Naturally	Help!	8	150	1965
All I've Got To Do	With The Beatles	2	122	1963
All My Loving	With The Beatles	3	127	1963
All Together Now	Yellow Submarine	3	130	1969
All You Need Is Love	Magical Mystery Tour	11	230	1967
All You Need Is Love	Yellow Submarine	6	231	1969
And I Love Her	A Hard Day's Night	5	149	1964
And Your Bird Can Sing	Revolver	9	120	1966
Anna (Go To Him)	Please Please Me	3	177	1963
Another Girl	Help!	5	125	1965
Any Time At All	A Hard Day's Night	8	131	1964
Ask Me Why	Please Please Me	6	146	1963
Baby It's You	Please Please Me	10	160	1963
Baby You're A Rich Man	Magical Mystery Tour	10	181	1967
Baby's In Black	Beatles For Sale	3	124	1964
Back In The USSR	The Beatles (White Album)-2	1	163	1968
Because	Abbey Road	8	165	1969
Being For The Benefit Of Mr. Kite!	Sgt. Pepper's Lonely Hearts Club Band	7	157	1967
Birthday	The Beatles (White Album)-1	1	163	1968
Blackbird	The Beatles (White Album)-1	11	138	1968
Blue Jay Way	Magical Mystery Tour	4	235	1967
Boys	Please Please Me	5	146	1963
Can't Buy Me Love	A Hard Day's Night	7	131	1964
Chains	Please Please Me	4	145	1963
Come Together	Abbey Road	1	260	1969
Cry Baby Cry	The Beatles (White Album)-2	11	182	1968
Dear Prudence	The Beatles (White Album)-1	2	235	1968
Devil In Her Heart	With The Beatles	12	146	1963
Dig A Pony	Let It Be	2	235	1970
Dig It	Let It Be	5	50	1970
Dizzy Miss Lizzy	Help!	14	176	1965
Do You Want To Know A Secret	Please Please Me	11	117	1963
Doctor Robert	Revolver	11	134	1966
Don't Bother Me	With The Beatles	4	148	1963
Don't Pass Me By	The Beatles (White Album)-1	14	230	1968
Drive My Car	Rubber Soul	1	148	1965
Eight Days A Week	Beatles For Sale	8	163	1964
Eleanor Rigby	Revolver	2	126	1966
Every Little Thing	Beatles For Sale	11	123	1964
